id;name;tags;image_link;description
1;Vịnh Hạ Long;thiên nhiên; vinhhalong.jpeg;Kỳ quan thiên nhiên thế giới được UNESCO công nhận;4.9
2;Núi Bà Đen;du lịch; nuibaden.jpg;Điểm du lịch nổi tiếng với cáp treo và cảnh đẹp;4.5
3;Thung Lũng Tình Yêu;Đà Lạt; thunglungtinhyeu.jpg;Khu du lịch nổi tiếng với hồ nước và cảnh rừng thông;4.4
4;Sa Pa;thiên nhiên; sapa.jpg;Thị trấn vùng cao của Lào Cai, có ruộng bậc thang đẹp như tranh và đỉnh Fansipan - “nóc nhà Đông Dương”;4.8
5;Hội An;phố cổ; hoian.jpg;Phố cổ được UNESCO công nhận là Di sản Văn hóa Thế giới, nổi tiếng với đèn lồng và kiến trúc cổ kính;4.9
6;Đà Lạt;nghỉ dưỡng; dalat.jpg;Thành phố ngàn hoa với khí hậu mát mẻ quanh năm, nổi tiếng với hồ Xuân Hương và Thung lũng Tình Yêu;4.7
7;Tràng An;hang động; trangan.jpg;Quần thể danh thắng Tràng An (Ninh Bình) được UNESCO công nhận là Di sản thiên nhiên và văn hóa thế giới;4.8
8;Côn Đảo;biển; condao.jpg;Hòn đảo nổi tiếng với vẻ đẹp hoang sơ và các di tích lịch sử linh thiêng;4.6
9;Bà Nà Hills;du lịch; banahills.jpg;Khu du lịch nổi tiếng ở Đà Nẵng với “Cầu Vàng” biểu tượng và hệ thống cáp treo dài hàng đầu thế giới;4.7
10;Thác Bản Giốc;thiên nhiên; bangioc.jpg;Một trong những thác nước đẹp nhất châu Á, nằm giữa biên giới Việt Nam và Trung Quốc tại Cao Bằng;4.6
11;Hậu Giang;miền Tây; haugiang.jpg;Điểm đến mang đậm nét miền Tây sông nước, nổi tiếng với chợ nổi Ngã Bảy và các khu du lịch sinh thái miệt vườn;4.2
12;Huế;cung đình; hue.jpg;Cố đô Huế – trung tâm văn hóa, lịch sử và ẩm thực, nơi có quần thể di tích triều Nguyễn được UNESCO công nhận là Di sản Thế giới;4.8
13;Cần Thơ;miền Tây;cantho.jpg;Thành phố trung tâm vùng đồng bằng sông Cửu Long, nổi tiếng với chợ nổi Cái Răng và văn hóa sông nước đặc trưng;4.5
